plan_name,T0,T1,T5,aucc_kev,kev_first_rank,RTdisc_days,n_actions,cert_size,verify_time_s
kevgraph_greedy,0.0237,0.2,0.3898,0.9184,2,293.0,84,295,0.003146
kevgraph_ilp,0.0237,0.078,0.3695,0.9881,1,293.0,84,295,0.002326
baseline_random,0.0237,0.0102,0.0407,0.6375,19,293.0,93,295,0.002297
baseline_cvss,0.0237,0.2,0.261,0.8688,2,293.0,86,295,0.002292
baseline_epss,0.0237,0.061,0.1695,0.9767,1,293.0,86,295,0.002288
baseline_dependabot,0.0237,0.0203,0.2508,0.8272,12,293.0,86,295,0.002308
