repo_full_name,total_pkgs,total_vulns,kev_count,kev_rate,scan_at
Unitech/pm2,197,66,0,0.0,2026-03-02T11:32:08.879220+00:00
VulcanJS/Vulcan,1556,274,0,0.0,2026-03-02T11:32:08.879220+00:00
Wei-Shaw/claude-relay-service,660,116,0,0.0,2026-03-02T11:32:08.879220+00:00
WickyNilliams/headroom.js,263,65,0,0.0,2026-03-02T11:32:08.879220+00:00
WordPress/gutenberg,3512,339,1,0.00295,2026-03-02T11:32:08.879220+00:00
YMFE/yapi,1574,364,0,0.0,2026-03-02T11:32:08.879220+00:00
a597873885/webfunny_monitor,698,154,0,0.0,2026-03-02T11:32:08.879220+00:00
aFarkas/lazysizes,391,93,2,0.021505,2026-03-02T11:32:08.879220+00:00
aaronshaf/react-toggle,837,171,0,0.0,2026-03-02T11:32:08.879220+00:00
addyosmani/critical,889,105,1,0.009524,2026-03-02T11:32:08.879220+00:00
adrianhajdin/award-winning-website,409,64,1,0.015625,2026-03-02T11:32:08.879220+00:00
adrianhajdin/project_3D_developer_portfolio,236,56,1,0.017857,2026-03-02T11:32:08.879220+00:00
affaan-m/everything-claude-code,156,37,0,0.0,2026-03-02T11:32:08.879220+00:00
aframevr/aframe,988,197,0,0.0,2026-03-02T11:32:08.879220+00:00
akira-cn/FE_You_dont_know,945,196,0,0.0,2026-03-02T11:32:08.879220+00:00
aksakalli/gtop,102,29,0,0.0,2026-03-02T11:32:08.879220+00:00
alanshaw/david,351,82,0,0.0,2026-03-02T11:32:08.879220+00:00
alyssaxuu/screenity,848,171,0,0.0,2026-03-02T11:32:08.879220+00:00
amazon-archives/amazon-cognito-identity-js,665,157,0,0.0,2026-03-02T11:32:08.879220+00:00
amejiarosario/dsa.js-data-structures-algorithms-javascript,1175,152,0,0.0,2026-03-02T11:32:08.879220+00:00
amsul/pickadate.js,238,80,1,0.0125,2026-03-02T11:32:08.879220+00:00
andrepimenta/claude-code-chat,485,105,0,0.0,2026-03-02T11:32:08.879220+00:00
angular-fullstack/generator-angular-fullstack,961,125,0,0.0,2026-03-02T11:32:08.879220+00:00
anuraghazra/github-readme-stats,575,104,0,0.0,2026-03-02T11:32:08.879220+00:00
anvaka/city-roads,273,81,1,0.012346,2026-03-02T11:32:08.879220+00:00
apache/cordova-cli,465,75,0,0.0,2026-03-02T11:32:08.879220+00:00
apache/pouchdb,812,147,0,0.0,2026-03-02T11:32:08.879220+00:00
apidoc/apidoc,531,104,1,0.009615,2026-03-02T11:32:08.879220+00:00
apocas/dockerode,129,43,0,0.0,2026-03-02T11:32:08.879220+00:00
apollographql/react-apollo,581,112,0,0.0,2026-03-02T11:32:08.879220+00:00
ascoders/weekly,139,26,0,0.0,2026-03-02T11:32:08.879220+00:00
assaf/zombie,655,115,0,0.0,2026-03-02T11:32:08.879220+00:00
atom/atom,820,145,0,0.0,2026-03-02T11:32:08.879220+00:00
atom/autocomplete-plus,175,59,1,0.016949,2026-03-02T11:32:08.879220+00:00
auduno/clmtrackr,93,18,0,0.0,2026-03-02T11:32:08.879220+00:00
aui/font-spider,431,92,0,0.0,2026-03-02T11:32:08.879220+00:00
avajs/ava,821,84,0,0.0,2026-03-02T11:32:08.879220+00:00
avwo/whistle,1011,183,2,0.010929,2026-03-02T11:32:08.879220+00:00
ayastreb/money-tracker,1390,179,1,0.005587,2026-03-02T11:32:08.879220+00:00
azukaar/Cosmos-Server,850,136,1,0.007353,2026-03-02T11:32:08.879220+00:00
baidu/san,806,144,0,0.0,2026-03-02T11:32:08.879220+00:00
ballercat/walt,484,94,0,0.0,2026-03-02T11:32:08.879220+00:00
be5invis/Iosevka,397,36,0,0.0,2026-03-02T11:32:08.879220+00:00
beefproject/beef,84,41,0,0.0,2026-03-02T11:32:08.879220+00:00
benweet/stackedit,1310,234,0,0.0,2026-03-02T11:32:08.879220+00:00
bestiejs/benchmark.js,175,63,0,0.0,2026-03-02T11:32:08.879220+00:00
bilibili/flv.js,394,107,0,0.0,2026-03-02T11:32:08.879220+00:00
blueedgetechno/win11React,1442,218,1,0.004587,2026-03-02T11:32:08.879220+00:00
blueimp/JavaScript-MD5,185,55,0,0.0,2026-03-02T11:32:08.879220+00:00
bmad-code-org/BMAD-METHOD,922,108,1,0.009259,2026-03-02T11:32:08.879220+00:00
