plan_name,T0,T1,T5,aucc_kev,kev_first_rank,RTdisc_days,n_actions,cert_size,verify_time_s
kevgraph_greedy,0.0053,0.0352,0.1121,0.9017,2,105.0,417,937,0.105394
kevgraph_ilp,0.0053,0.0235,0.0811,0.9971,1,105.0,417,937,0.118514
baseline_random,0.0053,0.0021,0.0139,0.7797,20,105.0,502,937,0.111859
baseline_cvss,0.0053,0.0011,0.0512,0.7079,18,105.0,419,937,0.093161
baseline_epss,0.0053,0.0235,0.0822,0.9885,1,105.0,417,937,0.088814
baseline_dependabot,0.0053,0.0011,0.0053,0.5886,18,105.0,421,937,0.091659
